user_id,month,user_segment,monthly_income,total_income,total_expense,spending_ratio,savings_ratio,budget_utilization,has_savings,has_debt,debt_ratio,expense_volatility,n_transactions,top_category_ratio,cashflow_score,budget_discipline_score,savings_readiness_score,spending_stability_score,debt_risk_score,health_score,primary_explanation_codes,split
user_0002,2026-04,pekerja_tetap,6500000,6500000,5437000,0.8364615384615385,0.16353846153846155,1.054590423991872,True,True,0.18,0.0,58,0.214640426705904,64.555,49.082,90.855,100.0,77.6,72.568,spending_ratio_above_segment_threshold|budget_utilization_above_80_percent|savings_ratio_below_segment_target,demo_holdout
user_0002,2026-05,pekerja_tetap,6500000,6500000,5339000,0.8213846153846154,0.17861538461538462,1.0420995981946592,True,True,0.18,0.012861259197528148,50,0.23431354186177186,69.144,51.58,99.231,100.0,77.6,76.244,spending_ratio_above_segment_threshold|budget_utilization_above_80_percent|savings_ratio_below_segment_target,demo_holdout
user_0003,2025-06,freelancer,9000000,8700000,6398000,0.7108888888888889,0.2891111111111111,0.972040471281469,True,False,0.0,0.0,50,0.28930915911222255,100.0,65.592,100.0,100.0,100.0,91.398,budget_utilization_above_80_percent,demo_holdout
user_0003,2025-07,freelancer,9000000,8300000,6225000,0.6916666666666667,0.30833333333333335,1.4653991250855225,True,False,0.0,0.019381996854198325,63,0.18987951807228914,100.0,30.0,100.0,100.0,100.0,82.5,budget_utilization_above_80_percent,demo_holdout
user_0003,2025-08,freelancer,9000000,6700000,6596000,0.7328888888888889,0.26711111111111113,1.6413741256961234,True,False,0.0,0.028977626296042048,68,0.2268041237113402,100.0,30.0,100.0,100.0,100.0,82.5,budget_utilization_above_80_percent,demo_holdout
user_0003,2025-09,freelancer,9000000,6150000,4815000,0.535,0.465,0.5798918090447004,True,False,0.0,0.15984141002741625,69,0.40186915887850466,100.0,100.0,100.0,93.514,100.0,99.027,healthy_baseline,demo_holdout
user_0003,2025-10,freelancer,9000000,6450000,4871000,0.5412222222222223,0.4587777777777778,0.6967652253101764,True,False,0.0,0.1865524376401789,69,0.3795935126257442,100.0,100.0,100.0,89.166,100.0,98.375,healthy_baseline,demo_holdout
user_0003,2025-11,freelancer,9000000,6300000,3707000,0.4118888888888889,0.5881111111111111,0.49503895982718216,True,False,0.0,0.14704710965997933,46,0.3309954140814675,100.0,100.0,100.0,95.597,100.0,99.34,healthy_baseline,demo_holdout
user_0003,2025-12,freelancer,9000000,9600000,7439000,0.7748958333333333,0.22510416666666666,0.8563890633536855,True,False,0.0,0.3576529008000632,57,0.20056459201505578,100.0,88.722,100.0,61.312,100.0,91.377,budget_utilization_above_80_percent|expense_volatility_high,demo_holdout
user_0003,2026-01,freelancer,9000000,9900000,8572000,0.8658585858585859,0.13414141414141414,0.9745438137807179,True,False,0.0,0.38729726675835635,57,0.2246850209986001,77.74,65.091,89.428,56.486,100.0,75.953,spending_ratio_above_segment_threshold|budget_utilization_above_80_percent|savings_ratio_below_segment_target|expense_volatility_high,demo_holdout
user_0003,2026-02,freelancer,9000000,13050000,9570000,0.7333333333333333,0.26666666666666666,1.0004845273461695,True,False,0.0,0.12503957492394818,57,0.2347962382445141,100.0,59.903,100.0,99.18,100.0,89.853,budget_utilization_above_80_percent,demo_holdout
user_0003,2026-03,freelancer,9000000,8000000,7439000,0.8265555555555556,0.17344444444444446,1.3006022486987472,True,False,0.0,0.12503957492394818,61,0.22865976609759375,87.93,30.0,100.0,99.18,100.0,78.756,spending_ratio_above_segment_threshold|budget_utilization_above_80_percent,demo_holdout
