transaction_date,user_id,total_spending,n_transactions,avg_spending,monthly_income,spending_ratio,savings_ratio
2025-06,user_0003,15098000,50,301960.0,9000000,1.6775555555555555,-0.6775555555555556
2025-06,user_0005,4475000,60,74583.33333333333,2250000,1.988888888888889,-0.9888888888888889
2025-06,user_0009,4198000,59,71152.54237288136,2300000,1.825217391304348,-0.8252173913043478
2025-06,user_0010,4563000,55,82963.63636363637,2250000,2.028,-1.028
2025-06,user_0011,3207000,43,74581.3953488372,1500000,2.138,-1.138
2025-06,user_0013,1850000,49,37755.102040816324,900000,2.0555555555555554,-1.0555555555555556
2025-06,user_0014,3333000,44,75750.0,1650000,2.02,-1.02
2025-06,user_0015,4401000,48,91687.5,2250000,1.956,-0.956
2025-06,user_0016,2070000,55,37636.36363636364,1100000,1.8818181818181818,-0.8818181818181818
2025-06,user_0018,3092000,59,52406.779661016946,1450000,2.1324137931034484,-1.1324137931034484
2025-06,user_0020,5975000,59,101271.18644067796,3250000,1.8384615384615384,-0.8384615384615385
2025-06,user_0021,6726000,68,98911.76470588235,3350000,2.0077611940298508,-1.0077611940298508
2025-06,user_0022,6560000,64,102500.0,2650000,2.4754716981132074,-1.4754716981132074
2025-06,user_0023,3879000,65,59676.92307692308,1250000,3.1032,-2.1032
2025-06,user_0024,3628000,53,68452.83018867925,2050000,1.7697560975609756,-0.7697560975609756
2025-06,user_0025,4869000,60,81150.0,2700000,1.8033333333333332,-0.8033333333333333
2025-06,user_0026,4360000,54,80740.74074074074,2050000,2.126829268292683,-1.1268292682926828
2025-06,user_0027,4025000,51,78921.56862745098,1800000,2.236111111111111,-1.2361111111111112
2025-06,user_0029,2313000,64,36140.625,1100000,2.1027272727272726,-1.1027272727272728
2025-06,user_0030,3837000,48,79937.5,2050000,1.8717073170731708,-0.8717073170731707
2025-06,user_0031,6171000,58,106396.55172413793,3500000,1.7631428571428571,-0.7631428571428571
2025-06,user_0032,4097000,52,78788.46153846153,2150000,1.9055813953488372,-0.9055813953488372
2025-06,user_0033,6085000,53,114811.32075471699,3000000,2.0283333333333333,-1.0283333333333333
2025-06,user_0034,1798000,64,28093.75,1050000,1.7123809523809523,-0.7123809523809523
2025-06,user_0035,4414000,46,95956.52173913043,2350000,1.8782978723404256,-0.8782978723404256
2025-06,user_0036,5755000,45,127888.88888888889,3100000,1.8564516129032258,-0.8564516129032258
2025-06,user_0037,3087000,65,47492.307692307695,1450000,2.1289655172413795,-1.1289655172413793
2025-06,user_0038,5466000,60,91100.0,2850000,1.9178947368421053,-0.9178947368421052
2025-06,user_0039,7082000,57,124245.61403508772,3450000,2.052753623188406,-1.0527536231884058
2025-06,user_0040,4444000,69,64405.79710144927,2450000,1.8138775510204082,-0.8138775510204082
2025-06,user_0041,1661000,48,34604.166666666664,900000,1.8455555555555556,-0.8455555555555555
2025-06,user_0042,5170000,38,136052.63157894736,2800000,1.8464285714285715,-0.8464285714285714
2025-06,user_0043,4224000,68,62117.64705882353,2300000,1.8365217391304347,-0.8365217391304348
2025-06,user_0044,2406000,69,34869.565217391304,1050000,2.2914285714285714,-1.2914285714285714
2025-06,user_0046,5818000,68,85558.82352941176,3200000,1.818125,-0.818125
2025-06,user_0048,3146000,51,61686.27450980392,1850000,1.7005405405405405,-0.7005405405405405
2025-06,user_0049,4395000,58,75775.86206896552,2350000,1.8702127659574468,-0.8702127659574468
2025-06,user_0051,3626000,42,86333.33333333333,1900000,1.908421052631579,-0.9084210526315789
2025-06,user_0052,3152000,65,48492.307692307695,1850000,1.7037837837837837,-0.7037837837837838
2025-06,user_0053,1873000,54,34685.18518518518,950000,1.971578947368421,-0.9715789473684211
2025-06,user_0054,2023000,51,39666.666666666664,1050000,1.9266666666666667,-0.9266666666666666
2025-06,user_0055,5301000,51,103941.17647058824,2900000,1.8279310344827586,-0.8279310344827586
2025-06,user_0056,3798000,65,58430.769230769234,1900000,1.9989473684210526,-0.9989473684210526
2025-06,user_0057,1852000,60,30866.666666666668,900000,2.057777777777778,-1.0577777777777777
2025-06,user_0059,4030000,67,60149.253731343284,2050000,1.9658536585365853,-0.9658536585365853
2025-06,user_0060,4748000,52,91307.69230769231,2600000,1.8261538461538462,-0.8261538461538461
2025-06,user_0063,3383000,59,57338.983050847455,1750000,1.933142857142857,-0.9331428571428572
2025-06,user_0065,6031000,62,97274.19354838709,3100000,1.945483870967742,-0.9454838709677419
2025-06,user_0066,4368000,62,70451.6129032258,1950000,2.24,-1.24
2025-06,user_0068,6698000,65,103046.15384615384,3350000,1.9994029850746269,-0.9994029850746269
2025-06,user_0069,5839000,56,104267.85714285714,3200000,1.8246875,-0.8246875
2025-06,user_0070,4705000,57,82543.85964912281,2000000,2.3525,-1.3525
2025-06,user_0071,13772000,65,211876.92307692306,8300000,1.659277108433735,-0.659277108433735
2025-06,user_0072,11801000,48,245854.16666666666,6200000,1.9033870967741935,-0.9033870967741936
2025-06,user_0073,9137000,60,152283.33333333334,5000000,1.8274,-0.8274
2025-06,user_0074,11252000,63,178603.17460317462,6400000,1.758125,-0.758125
2025-06,user_0075,21026000,54,389370.3703703704,10850000,1.9378801843317972,-0.9378801843317972
2025-06,user_0076,18033000,63,286238.09523809527,9800000,1.8401020408163264,-0.8401020408163266
2025-06,user_0077,19712000,54,365037.037037037,11950000,1.649539748953975,-0.6495397489539749
2025-06,user_0079,13011000,68,191338.23529411765,6650000,1.9565413533834586,-0.9565413533834587
2025-06,user_0080,16317000,51,319941.17647058825,9050000,1.8029834254143646,-0.8029834254143646
2025-06,user_0081,13885000,51,272254.90196078434,7350000,1.8891156462585035,-0.8891156462585034
2025-06,user_0082,17995000,39,461410.25641025644,11400000,1.5785087719298245,-0.5785087719298245
2025-06,user_0085,17985000,55,327000.0,11400000,1.5776315789473685,-0.5776315789473684
